#N/A,,Date,Volume
,,41641.66667,1822719
,,41642.66667,1669229
,,41645.66667,1770782
,,41646.66667,2553999
,,41647.66667,2243444
,,41648.66667,2085565
,,41649.66667,2145560
,,41652.66667,2425615
,,41653.66667,2484514
,,41654.66667,1951012
,,41655.66667,1685699
,,41656.66667,2766140
,,41660.66667,1981099
,,41661.66667,1573846
,,41662.66667,1951643
,,41663.66667,3926347
,,41666.66667,4362978
,,41667.66667,2217723
,,41668.66667,2411641
,,41669.66667,5141107
,,41670.66667,5569794
,,41673.66667,4575602
,,41674.66667,2815737
,,41675.66667,2400619
,,41676.66667,1948254
,,41677.66667,2687308
,,41680.66667,1945639
,,41681.66667,2052813
,,41682.66667,1725673
,,41683.66667,1836921
,,41684.66667,2194330
,,41688.66667,2110730
,,41689.66667,2105697
,,41690.66667,1701894
,,41691.66667,1863155
,,41694.66667,1675461
,,41695.66667,1444180
,,41696.66667,1983804
,,41697.66667,1260794
,,41698.66667,2314596
,,41701.66667,2108720
,,41702.66667,1471031
,,41703.66667,1236190
,,41704.66667,1269591
,,41705.66667,1515510
,,41708.66667,1215443
,,41709.66667,1715423
,,41710.66667,1966927
,,41711.66667,2345640
,,41712.66667,2301786
,,41715.66667,2166547
,,41716.66667,1821606
,,41717.66667,1612901
,,41718.66667,1684975
,,41719.66667,3210656
,,41722.66667,3039151
,,41723.66667,2413045
,,41724.66667,2580023
,,41725.66667,13052
,,41726.66667,41003
,,41729.66667,10772
,,41730.66667,7932
,,41731.66667,146697
,,41732.66667,5087530
,,41733.66667,6377658
,,41736.66667,4389569
,,41737.66667,3152406
,,41738.66667,3324742
,,41739.66667,4027743
,,41740.66667,3916171
,,41743.66667,2568020
,,41744.66667,3847453
,,41745.66667,4879889
,,41746.66667,6795393
,,41750.66667,2561214
,,41751.66667,2359421
,,41752.66667,2051066
,,41753.66667,1881965
,,41754.66667,2097264
,,41757.66667,3326429
,,41758.66667,2692489
,,41759.66667,1746904
,,41760.66667,1900432
,,41761.66667,1685042
,,41764.66667,1021408
,,41765.66667,1684381
,,41766.66667,3216077
,,41767.66667,2016131
,,41768.66667,2432783
,,41771.66667,1908392
,,41772.66667,1648907
,,41773.66667,1191863
,,41774.66667,1703758
,,41775.66667,1481688
,,41778.66667,1276362
,,41779.66667,1780113
,,41780.66667,1193389
,,41781.66667,1611837
,,41782.66667,1929632
,,41786.66667,2100298
,,41787.66667,1647717
,,41788.66667,1350657
,,41789.66667,1766794
,,41792.66667,1434989
,,41793.66667,1861921
,,41794.66667,1812084
,,41795.66667,1684886
,,41796.66667,1732592
,,41799.66667,1463676
